Country,Cases,Deaths,UpdateTime
CostaRica*,227,2,7/3/20099:00
Coted'Ivoire,2,0,7/3/20099:00
Cuba,73,0,7/3/20099:00
Cyprus,70,0,7/3/20099:00
CzechRepublic,15,0,7/3/20099:00
Denmark,63,0,7/3/20099:00
Dominica,1,0,7/3/20099:00
DominicanRepublic,108,2,7/3/20099:00
Ecuador,163,0,7/3/20099:00
Egypt,67,0,7/3/20099:00
ElSalvador,253,0,7/3/20099:00
Estonia,13,0,7/3/20099:00
Ethiopia,3,0,7/3/20099:00
Fiji,2,0,7/3/20099:00
Finland,43,0,7/3/20099:00
France,300,0,7/3/20099:00
FrenchPolynesia,FOC,2,0,7/3/20099:00
Martinique,FOC,2,0,7/3/20099:00
France,NewCaledonia,FOC,6,0,7/3/20099:00
Germany,470,0,7/3/20099:00
Greece,109,0,7/3/20099:00
Guatemala ,254,2,7/3/20099:00
Honduras,123,1,7/3/20099:00
Hungary,11,0,7/3/20099:00
Iceland,4,0,7/3/20099:00
India,104,0,7/3/20099:00
Indonesia,8,0,7/3/20099:00
Iran,1,0,7/3/20099:00
Iraq,11,0,7/3/20099:00
Ireland,51,0,7/3/20099:00
Israel,577,0,7/3/20099:00
Italy,130,0,7/3/20099:00
Jamaica,32,0,7/3/20099:00
Japan,1446,0,7/3/20099:00
Jordan,22,0,7/3/20099:00
Kenya,12,0,7/3/20099:00
Korea,Republicof,202,0,7/3/20099:00
Kuwait,35,0,7/3/20099:00
Laos,3,0,7/3/20099:00
Latvia,1,0,7/3/20099:00
Lebanon,47,0,7/3/20099:00
Lithuania,3,0,7/3/20099:00
Luxembourg,4,0,7/3/20099:00
Malaysia,112,0,7/3/20099:00
Malta,2,0,7/3/20099:00
Mauritius,1,0,7/3/20099:00
Mexico,10262,119,7/3/20099:00
Montenegro,9,0,7/3/20099:00
Morocco,17,0,7/3/20099:00
Myanmar,1,0,7/3/20099:00
Nepal,5,0,7/3/20099:00
Netherlands,134,0,7/3/20099:00
Netherlands,Aruba,5,0,7/3/20099:00
NetherlandsAntilles,Curaçao,8,0,7/3/20099:00
NetherlandsAntilles,SintMaarten,7,0,7/3/20099:00
NewZealand,912,0,7/3/20099:00
Nicaragua,308,0,7/3/20099:00
Norway,41,0,7/3/20099:00
Oman,3,0,7/3/20099:00
Palau,1,0,7/3/20099:00
Panama,417,0,7/3/20099:00
PapuaNewGuinea,1,0,7/3/20099:00
Paraguay,103,0,7/3/20099:00
Peru,538,0,7/3/20099:00
Philippines,1709,1,7/3/20099:00
